Name,Age,Height,Village,Rank,Nature
Naruto,15,166cm,Leaf,Genin,Wind
Sasuke,16,168cm,Leaf,Genin,Fire
Sakura,15,161cm,Leaf,Chunin,Earth
Kakashi,29,181cm,Leaf,Jonin,Lightning
Tsunade,54,163cm,Leaf,Kage,Lightning
Jiraiya,54,191cm,Leaf,Jonin,Fire
Orochimaru,54,172cm,Sound,Jonin,Wind
Shikamaru,16,170cm,Leaf,Chunin,Shadow
Ino,16,162cm,Leaf,Chunin,Earth
Choji,16,172cm,Leaf,Chunin,Earth
Hinata,16,160cm,Leaf,Chunin,Lightning
Kiba,16,169cm,Leaf,Chunin,Earth
Shino,16,175cm,Leaf,Chunin,Fire
Neji,16,172cm,Leaf,Jonin,Earth
Rock Lee,16,172cm,Leaf,Chunin,Fire
Tenten,16,164cm,Leaf,Chunin,Wind
Gaara,16,166cm,Sand,Kage,Wind
Kankuro,19,175cm,Sand,Jonin,Wind
Temari,19,165cm,Sand,Jonin,Wind
Baki,30,178cm,Sand,Jonin,Wind
Asuma,31,190cm,Leaf,Jonin,Wind
Kurenai,31,170cm,Leaf,Jonin,Genjutsu
Iruka,25,178cm,Leaf,Chunin,Water
Yamato,26,178cm,Leaf,Jonin,Wood
Sai,17,172cm,Leaf,Anbu,Ink
Danzo,72,170cm,Leaf,Elder,Wind
Itachi,21,175cm,Leaf,Missing-nin,Fire
Kisame,32,195cm,Mist,Missing-nin,Water
Deidara,19,166cm,Stone,Missing-nin,Earth
Sasori,35,164cm,Sand,Missing-nin,Fire
Hidan,22,177cm,Yugakure,Missing-nin,None
Kakuzu,91,185cm,Waterfall,Missing-nin,Earth
Pain,35,175cm,Rain,Leader,Lightning
Konan,35,169cm,Rain,Jonin,Paper
Zetsu,Unknown,177cm,N/A,N/A,Wood
Suigetsu,19,178cm,Mist,Missing-nin,Water
Karin,19,165cm,Grass,N/A,Water
Jugo,Unknown,202cm,Sound,N/A,Nature
Killer Bee,36,190cm,Cloud,Jinchuriki,Lightning
A,47,198cm,Cloud,Kage,Lightning
Darui,26,178cm,Cloud,Jonin,Lightning
Omoi,23,177cm,Cloud,Jonin,Lightning
Mei,31,174cm,Mist,Kage,Water
Chojuro,19,170cm,Mist,Jonin,Water
Ao,Unknown,181cm,Mist,Jonin,Water
